1.275	1.275	797.974669
1.275	1.325	797.974669
1.275	1.375	797.974669
1.275	1.425	797.974669
1.275	1.475	797.974669
1.275	1.525	797.974669
1.275	1.575	797.974669
1.275	1.625	797.974669
1.275	1.675	797.974669
1.275	1.725	797.974669
1.275	1.775	797.974669
1.275	1.825	797.974669
1.275	1.875	17.920601
1.275	1.925	14.181202
1.275	1.975	12.143734
1.275	2.025	10.279175
1.275	2.075	8.439315
1.275	2.125	6.889643
1.275	2.175	5.717979
1.275	2.225	4.809458
1.275	2.275	4.019335
1.275	2.325	3.436638
1.275	2.375	2.816101
1.275	2.425	2.708033
1.275	2.475	2.489471
1.275	2.525	2.342022
1.275	2.575	2.308693
1.275	2.625	2.268807
1.275	2.675	2.357923
1.275	2.725	2.372392
1.275	2.775	2.32398
1.275	2.825	2.466792
1.275	2.875	2.49685
1.275	2.925	2.561253
1.325	1.275	797.974669
1.325	1.325	797.974669
1.325	1.375	32.604145
1.325	1.425	29.491547
1.325	1.475	27.421725
1.325	1.525	24.975646
1.325	1.575	23.581869
1.325	1.625	22.359328
1.325	1.675	20.893654
1.325	1.725	19.409343
1.325	1.775	17.98966
1.325	1.825	16.296926
1.325	1.875	14.182813
1.325	1.925	11.778236
1.325	1.975	9.618702
1.325	2.025	7.638645
1.325	2.075	6.095361
1.325	2.125	4.653038
1.325	2.175	3.580758
1.325	2.225	2.659762
1.325	2.275	1.936821
1.325	2.325	1.441935
1.325	2.375	0.994427
1.325	2.425	0.773602
1.325	2.475	0.554904
1.325	2.525	0.44232
1.325	2.575	0.443075
1.325	2.625	0.40154
1.325	2.675	0.468389
1.325	2.725	0.498013
1.325	2.775	0.616744
1.325	2.825	0.737903
1.325	2.875	0.699264
1.325	2.925	0.841202
1.375	1.275	797.974669
1.375	1.325	797.974669
1.375	1.375	28.855879
1.375	1.425	25.756858
1.375	1.475	23.509645
1.375	1.525	21.743483
1.375	1.575	20.437456
1.375	1.625	19.239041
1.375	1.675	17.938522
1.375	1.725	16.708891
1.375	1.775	15.525056
1.375	1.825	14.188355
1.375	1.875	12.572868
1.375	1.925	10.411552
1.375	1.975	8.42768
1.375	2.025	6.594167
1.375	2.075	5.138097
1.375	2.125	3.800682
1.375	2.175	2.801601
1.375	2.225	2.006923
1.375	2.275	1.34462
1.375	2.325	0.915006
1.375	2.375	0.5043
1.375	2.425	0.306832
1.375	2.475	0.083237
1.375	2.525	0
1.375	2.575	0.027674
1.375	2.625	0.030309
1.375	2.675	0.15166
1.375	2.725	0.215385
1.375	2.775	0.316898
1.375	2.825	0.447524
1.375	2.875	0.509856
1.375	2.925	0.710141
